0000000013.png,E5E-c1WHchg,12,0,這什麼機構?詐騙集團延“人口福利部”催繳年金
0000000035.png,E5E-c1WHchg,34,24,"""人口福利部”是啥?民眾霧煞煞:好像稍微聽過"
0000000071.png,E5E-c1WHchg,70,48,"單子是假的!手法粗糙別上當""987""要騙你,"
0000000008.png,R_cjiI5-hxM,7,72,"澎湖海邊""灘雲""奇景曝!網友驚呼:好像飛碟"
0000000028.png,R_cjiI5-hxM,27,96,"周五""跑線""通過!西半部大雨阿里山下冰看"""
0000000070.png,R_cjiI5-hxM,69,120,今入夜防劇烈天氣明後略好轉仍有短暫降雨
0000000088.png,R_cjiI5-hxM,87,144,雨下到周一!西半部防局部大雨周二轉趨穩定
0000000001.png,dMZzQUipWIE,1,168,"全中運瓶装水印韓圖像遭轟造神?民眾看法不一,"
0000000034.png,dMZzQUipWIE,33,192,"全中運瓶裝水印韓圖像執委會:行銷高雄非造神,"
0000000057.png,dMZzQUipWIE,56,216,全中運水放上韓圖像執委會:其他縣市也來要水
0000000085.png,dMZzQUipWIE,84,240,全中運也加味!?瓶裝水上印韓國瑜照
0000000005.png,XVlfVqscT1w,4,264,"結牌!""人心齊,泰山移""蔡藉機喊話賴"
0000000019.png,XVlfVqscT1w,18,288,民調分裂黨?蔡:尊重制度賴:不必視初選為畏途
0000000044.png,XVlfVqscT1w,43,312,"""台風,韓流""中國介入?蔡英文:合理解釋"
0000000076.png,XVlfVqscT1w,75,336,"韓批國軍""太監穿西裝""蔡英文怒:把話收回去"
0000000100.png,XVlfVqscT1w,99,360,"藍綠都有敵人!蔡對外嗆辣,對內拚團結"
0000000001.png,tMmQO-gMppE,1,384,長照悲歌!兒猝死後病母無人顧也身亡
0000000025.png,tMmQO-gMppE,24,408,兒子死亡已久!病母無人照料陳屍臥室
0000000076.png,tMmQO-gMppE,75,432,兒獨自照顧年邁母親卻因猝死釀悲劇2死
0000000001.png,QxidGMN06Wc,1,456,"20億逃陸!黑道軟禁陳廷1周幫討債抽5成,"
0000000048.png,QxidGMN06Wc,47,480,20億跑了!主嫌2車曝軍貼冥紙.4輪胎遭拔光
0000000069.png,QxidGMN06Wc,68,504,"被害人遭騙千萬討錢陳廷喻說話放尊重點"","
0000000099.png,QxidGMN06Wc,98,528,20億逃大陸!黑道軟禁陳国廷1周幫討債抽5成
0000000001.png,5y8WD3_VN1M,1,552,非首例!曾有駕駛遭升降尾門夾住送醫不治
0000000061.png,5y8WD3_VN1M,60,576,"重型車以""人力""蓋升降尾門新型車可遙控操作,"
0000000088.png,5y8WD3_VN1M,87,600,"升降尾門承重5百公斤起若被夾住,人力難抵抗"
0000000001.png,GF3Sf0CTb8U,1,624,物流車司機遭油壓尾門夾頭部斷裂送醫不治
0000000036.png,GF3Sf0CTb8U,35,648,車輛經過擋道司機車內收尾板探頭遭夾亡
0000000074.png,GF3Sf0CTb8U,73,672,"司機車內收尾板探頭身體在內,頭部朝外還夾亡"
0000000006.png,V2bg7JUraQc,5,696,"防外籍女子""假觀光真賣淫”分局長帶隊查"
0000000021.png,V2bg7JUraQc,20,720,防範假觀光真賣淫64警大動作臨檢業者
0000000038.png,V2bg7JUraQc,37,744,防範假觀光真賣淫64警大動作臨檢業者
0000000063.png,V2bg7JUraQc,62,768,萬華分局長帶隊臨檢逮竊盜通緝犯
0000000003.png,HjE-dX8zuV8,2,792,"托嬰中心遭控「暴力對待""4月要社會局太粗魯"
0000000015.png,HjE-dX8zuV8,14,816,"保母粗魯引公憤!警赴托嬰中心""維持秩序”"
0000000054.png,HjE-dX8zuV8,53,840,社會局介入!男嬰診斷腦水腫”原因待查
0000000074.png,HjE-dX8zuV8,73,864,"「托嬰中心遭控""暴力對待""4月要社會局太粗魯"
0000000094.png,HjE-dX8zuV8,93,888,"保母粗魯引公憤!警赴托嬰中心""維持秩序"
0000000011.png,kxYuBWvKLe4,10,912,"郭台銘參加初選引關注外媒報導持續延燒,"
0000000021.png,kxYuBWvKLe4,20,936,"澳媒指全球風險升高彭博社:身價下滑之際從政,"
0000000055.png,kxYuBWvKLe4,54,960,引述最近郭董言論金融時報:台灣恐遭北京併吞
0000000088.png,kxYuBWvKLe4,87,984,外媒報導不斷郭董動作頻頻引發關注
0000000001.png,8AaeNnMWaOs,1,1008,內湖托嬰中心涉集體問嬰保母下跪向家長道歉
0000000045.png,8AaeNnMWaOs,44,1032,問頭又巴頭開罰托嬰中心30萬勒令停業1年
0000000081.png,8AaeNnMWaOs,80,1056,說明會下跪認錯!4保母+主任各別開罰並公布姓名
0000000001.png,VaaWKnYXusg,1,1080,7旬婦陳屍家中竟是凶殺嫌行竊失風下手
0000000033.png,VaaWKnYXusg,32,1104,左營7旬婦陳屍家中是凶殺警方台南逮捕嫌
0000000051.png,VaaWKnYXusg,50,1128,"行竊失風揭住老婦口鼻害窒息亡警拘捕嫌犯到案,"
0000000084.png,VaaWKnYXusg,83,1152,嫌曾住左營地緣關係從台南騎車至左營行藉
0000000001.png,j66WVIL_MCg,1,1176,"疑債糾紛4打1!4少年埋伏見女出門就殴打,"
0000000050.png,j66WVIL_MCg,49,1200,"稱友與越女債務糾紛被國女:被打莫名奇秒,"
0000000081.png,j66WVIL_MCg,80,1224,與人債務糾紛?被害人否認:被打莫名奇秒
0000000001.png,JmXhK_kcR3M,1,1248,狼!兩度痛毆八旬翁背心男揮拳一分鐘逃逸
0000000032.png,JmXhK_kcR3M,31,1272,看不順眼打人?八旬翁遭陌生男毆到腦震盪
0000000085.png,JmXhK_kcR3M,84,1296,「酒後動手?疑看不順眼殿翁警鎖定嫌身分追緝
0000000001.png,xGL5qSbIhus,1,1320,女酒駕百萬車自撞衝人行道翻覆遭消防栓穿心
0000000024.png,xGL5qSbIhus,23,1344,酒駕百萬休旅車自撞水泥護欄遭撞碎再壓2機車
0000000044.png,xGL5qSbIhus,43,1368,差2秒就被撞老婆要吃速食停車夫妻驚險逃死劫
0000000058.png,xGL5qSbIhus,57,1392,「消防隊員破壞車體先後救出女駕駛男乘客
0000000070.png,xGL5qSbIhus,69,1416,百萬休旅車被消防栓安心一男一女命大僅輕傷
0000000087.png,xGL5qSbIhus,86,1440,女酒駕百萬車自撞衝人行道翻覆遭消防栓穿心
0000000001.png,hc_hm5202wc,1,1464,"烏日高鐵旁停車場能火50機車遭燒毀,"
0000000040.png,hc_hm5202wc,39,1488,車主寄放全燒光11輛機車剩焦黑骨架
0000000066.png,hc_hm5202wc,65,1512,"「高鐵站旁收費停車場大火警初步排除人為縱火,"
0000000001.png,3FcKXAHyQLQ,1,1536,"「幾可亂真報案記警名印警證件稱""嚇人用"""
0000000049.png,3FcKXAHyQLQ,48,1560,"「幾可亂真!報案記警名印警證件稱""嚇人用"""
0000000073.png,3FcKXAHyQLQ,72,1584,"巧遭冒用警察查到自己假證件嫌傻眼這麼巧,"
0000000001.png,WzqAoy06U3M,1,1608,全家動員拿竹竿公所封路開放免費打土芒果
0000000028.png,WzqAoy06U3M,27,1632,"釣竿,寶特瓶自製道具全出爐親子同樂打芒果"
0000000066.png,WzqAoy06U3M,65,1656,154縣道種108棵芒果樹掉果砸中人車釀禍危險
0000000084.png,WzqAoy06U3M,83,1680,"公所封路""200人打芒果""重溫兒時回憶,"
0000000001.png,8Bho-nEeXwA,1,1704,"CD音樂搭配燈光秀!夜訪女王頭活動展開,"
0000000042.png,8Bho-nEeXwA,41,1728,"野柳""有""光第二屆,今年擴增共三區塊,"
0000000071.png,8Bho-nEeXwA,70,1752,CNEWS不只燈光私周六音樂會請來萬芳。知名管弦樂
0000000015.png,ptRZBl95GKg,14,1776,寫歌送給韓國瑜鄭進一:喝醉開玩笑竟然當真
0000000035.png,ptRZBl95GKg,34,1800,酒醉寫歌給韓國瑜鄭進一:堅持不投票當邊緣人
0000000068.png,ptRZBl95GKg,67,1824,酒醉寫歌給韓國瑜鄭進一自己爆料不怕爭議
0000000092.png,ptRZBl95GKg,91,1848,酒醉寫歌給韓國瑜鄭進一年紀大再寫歌難了
0000000001.png,H4qOPq8yVCY,1,1872,2020北市民眾6成不樂見柯P:做一半去選舉不好
0000000027.png,H4qOPq8yVCY,26,1896,北市58.4%不挺柯選高雄53.7%不支持韓出馬
0000000049.png,H4qOPq8yVCY,48,1920,"花敬群酸”搞死北市府同仁""柯P嗆:我問A別答B"
0000000107.png,H4qOPq8yVCY,106,1944,2020北市民眾6成不樂見!柯P:做一半去選舉不好
0000000001.png,TJBdXi2sfX4,1,1968,郭台銘傳5月將赴威州可能巧遇華府高層?
