0000000028.png,FZ0PUwIWBnI,27,0,"必落一國兩制陷阱!英曼國際誤會台同意,"
0000000037.png,FZ0PUwIWBnI,36,27,韓國瑜默認一國兩制港媒炮轟賈掉台灣
0000000077.png,FZ0PUwIWBnI,76,54,重砲轟韓黃國昌:支持一國兩制的都該淘汰
0000000101.png,FZ0PUwIWBnI,100,81,陳其邁盼公開說明“韓:回酒館等我好好聊
0000000006.png,oDd5zxzNuJg,5,108,制!好友反目成仇醉漢揮刀狂吼”你別跑
0000000058.png,oDd5zxzNuJg,57,135,“快躲這裡面“超商女店員急鎖門擋醉漢
0000000091.png,oDd5zxzNuJg,90,162,持刀嚇人觸”恐嚇公眾罪”修法辦酒醉工人
0000000006.png,wF5xSZj-VwI,5,189,政壇綠白藍和解?“明星臉蔡柯韓釣蝦
0000000036.png,wF5xSZj-VwI,35,216,政治明星臉都愛這味?釣蝦場捕獲蔡柯韓
0000000023.png,BIjfyepu4vI,22,243,"史來看,韓國瑜見台灣水果急招呼議員合照"
0000000049.png,BIjfyepu4vI,48,270,快來看!韓國瑜見台灣水果急招呼議員合照
0000000076.png,BIjfyepu4vI,75,297,訪問地涉機密?前晚通知不開放採訪鹽山港
0000000088.png,BIjfyepu4vI,87,324,台灣媒體遭集體控管?集中住宿建議飯店
0000000010.png,xxmTkySwEiM,9,351,太經典!名流150掀開式大燈成把妹神車
0000000067.png,xxmTkySwEiM,66,378,前十大經典機車山葉MAJESTY125奪冠
0000000094.png,xxmTkySwEiM,93,405,前十大經典機車山葉MAJESTY125奪冠
0000000006.png,cGTJ30YVNEY,5,432,出門影印再沒回家!少女失蹤4天家屬急尋
0000000063.png,cGTJ30YVNEY,62,459,了。」
0000000077.png,cGTJ30YVNEY,76,486,
0000000091.png,cGTJ30YVNEY,90,513,出門影印再沒回家!少女失蹤4天家屬意
0000000052.png,OpS8gj_hfeQ,51,540,這時加行程見劉結一餐最
0000000068.png,OpS8gj_hfeQ,67,567,海時加行程見劉結一陸委會要韓返台
0000000007.png,9BrrFE96JjE,6,594,國民黨文青會製德蔡花文宣换量
0000000056.png,9BrrFE96JjE,55,621,國民黨文青會製德蔡花文宣挨轟
0000000079.png,9BrrFE96JjE,78,648,大和解!他釣蝦場捕獲蔡柯韓”系
0000000134.png,9BrrFE96JjE,133,675,他信越南洗頭員”洗到一半超辣老婆現
